pId,ProductName,ProductShortCode,Category,Price,Quantity,Description,IsBestAchived,Origin,ImageLink
1,Milk,Milk,Milk,10,0,"Milk is a white, nutrient-rich liquid food produced in the mammary glands of mammals. It is the primary source of nutrition for infant mammals before they are able to digest other types of food.",TRUE,FF,https://picsum.photos/200/300
2,Fruits,Fruits,Fruits,10,1,"Milk is a white, nutrient-rich liquid food produced in the mammary glands of mammals. It is the primary source of nutrition for infant mammals before they are able to digest other types of food.",TRUE,FF,https://picsum.photos/200/301
3,Fruits,Apple,Apple,10,2,"Milk is a white, nutrient-rich liquid food produced in the mammary glands of mammals. It is the primary source of nutrition for infant mammals before they are able to digest other types of food.",TRUE,FF,https://picsum.photos/200/302
4,Fruits,Orange,Orange,10,3,"Milk is a white, nutrient-rich liquid food produced in the mammary glands of mammals. It is the primary source of nutrition for infant mammals before they are able to digest other types of food.",TRUE,FF,https://picsum.photos/200/303
5,Milk,Rose milk,Rose milk,10,4,"Milk is a white, nutrient-rich liquid food produced in the mammary glands of mammals. It is the primary source of nutrition for infant mammals before they are able to digest other types of food.",TRUE,FF,https://picsum.photos/200/304
6,Fruits,Banana,Banana,10,5,"Milk is a white, nutrient-rich liquid food produced in the mammary glands of mammals. It is the primary source of nutrition for infant mammals before they are able to digest other types of food.",TRUE,FF,https://picsum.photos/200/305
7,Fruits,Pineapple,Pineapple,10,6,"Milk is a white, nutrient-rich liquid food produced in the mammary glands of mammals. It is the primary source of nutrition for infant mammals before they are able to digest other types of food.",TRUE,FF,https://picsum.photos/200/306
8,Vege,Vege,Vege,10,7,"Milk is a white, nutrient-rich liquid food produced in the mammary glands of mammals. It is the primary source of nutrition for infant mammals before they are able to digest other types of food.",TRUE,FF,https://picsum.photos/200/307
9,Milk,Tea,Tea,10,8,"Milk is a white, nutrient-rich liquid food produced in the mammary glands of mammals. It is the primary source of nutrition for infant mammals before they are able to digest other types of food.",TRUE,FF,https://picsum.photos/200/308
10,Milk,Coffee,Coffee,10,9,"Milk is a white, nutrient-rich liquid food produced in the mammary glands of mammals. It is the primary source of nutrition for infant mammals before they are able to digest other types of food.",TRUE,FF,https://picsum.photos/200/309
